,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,PopCultured4,"News for Geeks, Games, Pop-Culture, SM Trends; I use humour as a coping mechanism. 

LOC: AUS

https://t.co/7bMT485ZIN",Interwebs,2484,880,110745,0,"#auspol be like:
Shooting kids is very bad and wrong

But letting them be infected and potentially die from covid19 is OK and normal so just send them to school and infect other kids https://t.co/PpGiFh1u0V",['auspol']
1,mccainin4,"Politics is found in many aspects of our lives: Family, Friends, Office, Church, Street - wherever people meet to achieve greatness altogether -- Anon",,39,338,58343,0,"@cspanwj Severe weather events are now being handled like #COVID19 deaths - hidden from public sight

This is #exactly like what happened after the Uvalde TX school shooting

We were lied to by @GovAbbott, and only after there was public demonstrations did that governor take it seriously","['COVID19', 'exactly']"
